sample_id,fragment_id,time,exposure,tank,genotype,final_disease_state,clone_group,resistance,reads,susceptability
T7_H_H1_U3,H_H1_U3,T7,H,H1,U3,H,clone_25,0.508438248490982,11494,R
T7_H_H1_U31,H_H1_U31,T7,H,H1,U31,H,clone_20,0.22580210845954632,11595,S
T7_H_H1_U35,H_H1_U35,T7,H,H1,U35,H,clone_22,0.4356333398942291,6971,S
T7_H_H1_U41,H_H1_U41,T7,H,H1,U41,H,clone_26,0.5267368063897103,9595,R
T7_H_H1_U42,H_H1_U42,T7,H,H1,U42,H,clone_27,0.22580210845954632,13391,S
T7_H_H1_U44,H_H1_U44,T7,H,H1,U44,H,clone_29,0.2732397851191928,26074,S
T7_H_H1_U46,H_H1_U46,T7,H,H1,U46,H,clone_30,0.21157268509462895,7455,S
T7_H_H1_U55,H_H1_U55,T7,H,H1,U55,H,clone_33,0.508438248490982,15983,R
T7_H_H1_U58,H_H1_U58,T7,H,H1,U58,H,clone_34,0.10674234253642308,14076,S
T7_H_H1_U63,H_H1_U63,T7,H,H1,U63,H,clone_38,0.48361904735164635,12040,R
T7_H_H1_U69,H_H1_U69,T7,H,H1,U69,H,clone_41,0.48361904735164635,2126,R
T7_H_H1_U9,H_H1_U9,T7,H,H1,U9,H,clone_48,0.5850746003769431,26343,R
T7_H_H1_U98,H_H1_U98,T7,H,H1,U98,H,clone_47,0.2906859573324436,22987,S
T7_H_H4_B8,H_H4_B8,T7,H,H4,B8,H,clone_66,0.3089636881866898,7383,S
T7_H_H4_KW15,H_H4_KW15,T7,H,H4,KW15,H,clone_5,0.610958320744247,23827,R
T7_H_H4_M10,H_H4_M10,T7,H,H4,M10,H,clone_6,0.3280738800080762,19589,S
T7_H_H4_U11,H_H4_U11,T7,H,H4,U11,H,clone_7,0.5336919135626396,15587,R
T7_H_H4_U17,H_H4_U17,T7,H,H4,U17,H,clone_17,0.4126090663756678,17190,S
T7_H_H4_U19,H_H4_U19,T7,H,H4,U19,H,clone_18,0.4356333398942291,17218,S
T7_H_H4_U37,H_H4_U37,T7,H,H4,U37,H,clone_26,0.6367881518843654,7097,R
T7_H_H4_U43,H_H4_U43,T7,H,H4,U43,H,clone_28,0.3386852215489822,12969,S
T7_H_H4_U47,H_H4_U47,T7,H,H4,U47,H,clone_103,0.34801091411193924,15145,S
T7_H_H4_U5,H_H4_U5,T7,H,H4,U5,H,clone_36,0.4593249166781684,3308,R
T7_H_H4_U62,H_H4_U62,T7,H,H4,U62,H,clone_7,0.3687617084886779,27221,S
T7_H_H4_U65,H_H4_U65,T7,H,H4,U65,H,clone_39,0.3480109141119393,10995,S
T7_H_H4_U67,H_H4_U67,T7,H,H4,U67,H,clone_40,0.5336919135626396,14481,R
T7_H_H4_U91,H_H4_U91,T7,H,H4,U91,H,clone_45,0.3687617084886779,6745,S
T7_H_H4_U93,H_H4_U93,T7,H,H4,U93,H,clone_46,0.3089636881866898,5746,S
T7_H_H5_K1,H_H5_K1,T7,H,H5,K1,H,clone_3,0.6367881518843654,3775,R
T7_H_H5_M1,H_H5_M1,T7,H,H5,M1,H,clone_7,0.03042154565820803,8290,S
T7_H_H5_M2,H_H5_M2,T7,H,H5,M2,H,clone_9,0.3280738800080762,8395,S
T7_H_H5_M3,H_H5_M3,T7,H,H5,M3,H,clone_9,0.3903047418355598,8417,S
T7_H_H5_M5,H_H5_M5,T7,H,H5,M5,H,clone_10,0.6367881518843654,7746,R
T7_H_H5_U33,H_H5_U33,T7,H,H5,U33,H,clone_21,0.2732397851191928,5718,S
T7_H_H5_U39,H_H5_U39,T7,H,H5,U39,H,clone_24,0.3280738800080762,4174,S
T7_H_H5_U71,H_H5_U71,T7,H,H5,U71,H,clone_42,0.6367881518843654,11143,R
T7_H_H5_U72,H_H5_U72,T7,H,H5,U72,H,clone_43,0.5850746003769431,15541,R
T7_H_H5_U75,H_H5_U75,T7,H,H5,U75,H,clone_44,0.4593249166781684,11432,R
