sample_id,genotype,clone_group,resistance,time,tank,reads,final_disease_state,exposure,susceptability
T7_D_D4_U9,U9,clone_48,0.5850746003769431,T7,D4,20675,D,D,R
T7_H_H1_U9,U9,clone_48,0.5850746003769431,T7,H1,26343,H,H,R
T7_H_H5_U9,U9,clone_48,0.5850746003769431,T7,H5,6852,D,H,R
T3_D_D2_U91,U91,clone_45,0.3687617084886779,T3,D2,36031,D,D,S
T3_D_D4_U91,U91,clone_45,0.3687617084886779,T3,D4,56484,D,D,S
T3_H_H4_U91,U91,clone_45,0.3687617084886779,T3,H4,19261,H,H,S
T7_D_D2_U91,U91,clone_45,0.3687617084886779,T7,D2,11153,D,D,S
T7_D_D4_U91,U91,clone_45,0.3687617084886779,T7,D4,10455,D,D,S
T7_H_H4_U91,U91,clone_45,0.3687617084886779,T7,H4,6745,H,H,S
T3_D_D1_U93,U93,clone_46,0.3089636881866898,T3,D1,9668,D,D,S
T3_H_H4_U93,U93,clone_46,0.3089636881866898,T3,H4,6109,H,H,S
T7_D_D1_U93,U93,clone_46,0.3089636881866898,T7,D1,3622,D,D,S
T7_H_H4_U93,U93,clone_46,0.3089636881866898,T7,H4,5746,H,H,S
T3_D_D1_U98,U98,clone_47,0.2906859573324436,T3,D1,32941,D,D,S
T3_H_H1_U98,U98,clone_47,0.2906859573324436,T3,H1,27465,H,H,S
T7_D_D1_U98,U98,clone_47,0.2906859573324436,T7,D1,9429,D,D,S
T7_D_D5_U98,U98,clone_47,0.2906859573324436,T7,D5,22323,D,D,S
T7_H_H1_U98,U98,clone_47,0.2906859573324436,T7,H1,22987,H,H,S
T7_H_H5_U98,U98,clone_47,0.2906859573324436,T7,H5,4142,D,H,S
