asv_id,sample_id,log2_cpm,exposure
ASV_37,T0_H_HOMO_4,5.2741049642317686,H
ASV_37,T0_H_HOMO_5,5.2741049642317686,H
ASV_38,T0_D_HOMO_1,10.765745176466249,D
ASV_38,T0_D_HOMO_2,8.230843700796814,D
ASV_38,T0_D_HOMO_3,5.274104964231766,D
ASV_38,T0_D_HOMO_4,5.2741049642317686,D
ASV_38,T0_D_HOMO_5,5.2741049642317686,D
ASV_38,T0_H_HOMO_1,9.258936055262497,H
ASV_38,T0_H_HOMO_2,5.274104964231766,H
ASV_38,T0_H_HOMO_3,5.2741049642317686,H
ASV_38,T0_H_HOMO_4,5.2741049642317686,H
ASV_38,T0_H_HOMO_5,5.2741049642317686,H
ASV_39,T0_D_HOMO_1,5.274104964231766,D
ASV_39,T0_D_HOMO_2,5.2741049642317686,D
ASV_39,T0_D_HOMO_3,8.952104815138654,D
ASV_39,T0_D_HOMO_4,8.673190145594603,D
ASV_39,T0_D_HOMO_5,5.2741049642317686,D
ASV_39,T0_H_HOMO_1,9.440145744631288,H
ASV_39,T0_H_HOMO_2,5.274104964231766,H
ASV_39,T0_H_HOMO_3,5.2741049642317686,H
ASV_39,T0_H_HOMO_4,5.2741049642317686,H
ASV_39,T0_H_HOMO_5,5.2741049642317686,H
ASV_40,T0_D_HOMO_1,10.526558385126734,D
ASV_40,T0_D_HOMO_2,12.045181239898339,D
ASV_40,T0_D_HOMO_3,12.957255762363047,D
ASV_40,T0_D_HOMO_4,13.392691968742378,D
ASV_40,T0_D_HOMO_5,12.898042928664077,D
ASV_40,T0_H_HOMO_1,8.935652456566865,H
ASV_40,T0_H_HOMO_2,5.274104964231766,H
ASV_40,T0_H_HOMO_3,8.833955919756578,H
ASV_40,T0_H_HOMO_4,5.2741049642317686,H
ASV_40,T0_H_HOMO_5,5.2741049642317686,H
ASV_41,T0_D_HOMO_1,10.174761337799163,D
ASV_41,T0_D_HOMO_2,5.2741049642317686,D
ASV_41,T0_D_HOMO_3,9.6432643953026,D
ASV_41,T0_D_HOMO_4,5.2741049642317686,D
ASV_41,T0_D_HOMO_5,5.2741049642317686,D
ASV_41,T0_H_HOMO_1,15.919643634716289,H
ASV_41,T0_H_HOMO_2,16.167740505085252,H
ASV_41,T0_H_HOMO_3,15.818594962172906,H
ASV_41,T0_H_HOMO_4,15.965364494501152,H
ASV_41,T0_H_HOMO_5,16.393829704043902,H
ASV_42,T0_D_HOMO_1,7.180835899713946,D
ASV_42,T0_D_HOMO_2,5.2741049642317686,D
ASV_42,T0_D_HOMO_3,5.274104964231766,D
ASV_42,T0_D_HOMO_4,5.2741049642317686,D
ASV_42,T0_D_HOMO_5,5.2741049642317686,D
ASV_42,T0_H_HOMO_1,5.2741049642317686,H
ASV_42,T0_H_HOMO_2,5.274104964231766,H
ASV_42,T0_H_HOMO_3,5.2741049642317686,H
ASV_42,T0_H_HOMO_4,5.2741049642317686,H
ASV_42,T0_H_HOMO_5,5.2741049642317686,H
ASV_44,T0_D_HOMO_1,10.03544650116904,D
ASV_44,T0_D_HOMO_2,9.436731874009933,D
ASV_44,T0_D_HOMO_3,9.6432643953026,D
ASV_44,T0_D_HOMO_4,5.2741049642317686,D
ASV_44,T0_D_HOMO_5,5.2741049642317686,D
ASV_44,T0_H_HOMO_1,5.2741049642317686,H
ASV_44,T0_H_HOMO_2,5.274104964231766,H
ASV_44,T0_H_HOMO_3,5.2741049642317686,H
ASV_44,T0_H_HOMO_4,5.2741049642317686,H
ASV_44,T0_H_HOMO_5,5.2741049642317686,H
ASV_45,T0_D_HOMO_1,5.274104964231766,D
ASV_45,T0_D_HOMO_2,8.230843700796814,D
ASV_45,T0_D_HOMO_3,5.274104964231766,D
ASV_45,T0_D_HOMO_4,5.2741049642317686,D
ASV_45,T0_D_HOMO_5,5.2741049642317686,D
ASV_45,T0_H_HOMO_1,9.440145744631288,H
ASV_45,T0_H_HOMO_2,8.732805932222362,H
ASV_45,T0_H_HOMO_3,5.2741049642317686,H
ASV_45,T0_H_HOMO_4,5.2741049642317686,H
ASV_45,T0_H_HOMO_5,5.2741049642317686,H
ASV_46,T0_D_HOMO_1,5.274104964231766,D
ASV_46,T0_D_HOMO_2,5.2741049642317686,D
ASV_46,T0_D_HOMO_3,5.274104964231766,D
ASV_46,T0_D_HOMO_4,5.2741049642317686,D
ASV_46,T0_D_HOMO_5,5.2741049642317686,D
ASV_46,T0_H_HOMO_1,5.2741049642317686,H
ASV_46,T0_H_HOMO_2,5.274104964231766,H
ASV_46,T0_H_HOMO_3,5.2741049642317686,H
ASV_46,T0_H_HOMO_4,5.2741049642317686,H
ASV_46,T0_H_HOMO_5,9.528320681139943,H
ASV_47,T0_D_HOMO_1,5.274104964231766,D
ASV_47,T0_D_HOMO_2,7.405640071026286,D
ASV_47,T0_D_HOMO_3,5.274104964231766,D
ASV_47,T0_D_HOMO_4,5.2741049642317686,D
ASV_47,T0_D_HOMO_5,5.2741049642317686,D
ASV_47,T0_H_HOMO_1,5.2741049642317686,H
ASV_47,T0_H_HOMO_2,5.274104964231766,H
ASV_47,T0_H_HOMO_3,5.2741049642317686,H
ASV_47,T0_H_HOMO_4,5.2741049642317686,H
ASV_47,T0_H_HOMO_5,9.528320681139943,H
ASV_48,T0_D_HOMO_1,8.68329867058659,D
ASV_48,T0_D_HOMO_2,5.2741049642317686,D
ASV_48,T0_D_HOMO_3,5.274104964231766,D
ASV_48,T0_D_HOMO_4,5.2741049642317686,D
ASV_48,T0_D_HOMO_5,8.189037586426146,D
ASV_48,T0_H_HOMO_1,11.422334685454738,H
ASV_48,T0_H_HOMO_2,8.360858649842816,H
ASV_48,T0_H_HOMO_3,8.925312751298227,H
ASV_48,T0_H_HOMO_4,10.396346429597015,H
ASV_48,T0_H_HOMO_5,9.528320681139943,H
ASV_49,T0_D_HOMO_1,5.274104964231766,D
ASV_49,T0_D_HOMO_2,8.752494982579211,D
ASV_49,T0_D_HOMO_3,5.274104964231766,D
ASV_49,T0_D_HOMO_4,5.2741049642317686,D
ASV_49,T0_D_HOMO_5,5.2741049642317686,D
ASV_49,T0_H_HOMO_1,5.2741049642317686,H
ASV_49,T0_H_HOMO_2,5.274104964231766,H
ASV_49,T0_H_HOMO_3,5.2741049642317686,H
ASV_49,T0_H_HOMO_4,5.2741049642317686,H
ASV_49,T0_H_HOMO_5,5.2741049642317686,H
ASV_50,T0_D_HOMO_1,5.274104964231766,D
ASV_50,T0_D_HOMO_2,5.2741049642317686,D
ASV_50,T0_D_HOMO_3,5.274104964231766,D
ASV_50,T0_D_HOMO_4,5.2741049642317686,D
ASV_50,T0_D_HOMO_5,5.2741049642317686,D
ASV_50,T0_H_HOMO_1,5.2741049642317686,H
ASV_50,T0_H_HOMO_2,7.858397715995454,H
ASV_50,T0_H_HOMO_3,5.2741049642317686,H
ASV_50,T0_H_HOMO_4,5.2741049642317686,H
ASV_50,T0_H_HOMO_5,5.2741049642317686,H
ASV_51,T0_D_HOMO_1,5.274104964231766,D
ASV_51,T0_D_HOMO_2,5.2741049642317686,D
ASV_51,T0_D_HOMO_3,5.274104964231766,D
ASV_51,T0_D_HOMO_4,5.2741049642317686,D
ASV_51,T0_D_HOMO_5,5.2741049642317686,D
ASV_51,T0_H_HOMO_1,5.2741049642317686,H
ASV_51,T0_H_HOMO_2,5.274104964231766,H
ASV_51,T0_H_HOMO_3,5.2741049642317686,H
ASV_51,T0_H_HOMO_4,5.2741049642317686,H
ASV_51,T0_H_HOMO_5,5.2741049642317686,H
ASV_53,T0_D_HOMO_1,13.499697909432392,D
ASV_53,T0_D_HOMO_2,11.144252455600391,D
ASV_53,T0_D_HOMO_3,10.742177405034692,D
ASV_53,T0_D_HOMO_4,10.566794225858938,D
ASV_53,T0_D_HOMO_5,8.189037586426146,D
ASV_53,T0_H_HOMO_1,5.2741049642317686,H
ASV_53,T0_H_HOMO_2,5.274104964231766,H
ASV_53,T0_H_HOMO_3,5.2741049642317686,H
ASV_53,T0_H_HOMO_4,5.2741049642317686,H
ASV_53,T0_H_HOMO_5,5.2741049642317686,H
ASV_54,T0_D_HOMO_1,6.521906431675582,D
ASV_54,T0_D_HOMO_2,5.2741049642317686,D
ASV_54,T0_D_HOMO_3,7.576605417311576,D
ASV_54,T0_D_HOMO_4,5.2741049642317686,D
ASV_54,T0_D_HOMO_5,5.2741049642317686,D
ASV_54,T0_H_HOMO_1,15.44616864268623,H
ASV_54,T0_H_HOMO_2,15.416685152993846,H
ASV_54,T0_H_HOMO_3,15.47930397084585,H
ASV_54,T0_H_HOMO_4,15.922734980246254,H
ASV_54,T0_H_HOMO_5,14.911910415734907,H
ASV_55,T0_D_HOMO_1,5.274104964231766,D
ASV_55,T0_D_HOMO_2,5.2741049642317686,D
ASV_55,T0_D_HOMO_3,5.274104964231766,D
ASV_55,T0_D_HOMO_4,5.2741049642317686,D
ASV_55,T0_D_HOMO_5,5.2741049642317686,D
ASV_55,T0_H_HOMO_1,5.2741049642317686,H
ASV_55,T0_H_HOMO_2,7.858397715995454,H
ASV_55,T0_H_HOMO_3,5.2741049642317686,H
ASV_55,T0_H_HOMO_4,5.2741049642317686,H
ASV_55,T0_H_HOMO_5,5.2741049642317686,H
ASV_56,T0_D_HOMO_1,5.274104964231766,D
ASV_56,T0_D_HOMO_2,5.2741049642317686,D
ASV_56,T0_D_HOMO_3,5.274104964231766,D
ASV_56,T0_D_HOMO_4,5.2741049642317686,D
ASV_56,T0_D_HOMO_5,5.2741049642317686,D
ASV_56,T0_H_HOMO_1,9.440145744631288,H
ASV_56,T0_H_HOMO_2,5.274104964231766,H
ASV_56,T0_H_HOMO_3,9.440846674582152,H
